wallet_id,score
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,505
0x06b51c6882b27cb05e712185531c1f74996dd988,170
0x0795732aacc448030ef374374eaae57d2965c16c,168
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,542
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,173
0x104ae61d8d487ad689969a17807ddc338b445416,214
0x111c7208a7e2af345d36b6d4aace8740d61a3078,172
0x124853fecb522c57d9bd5c21231058696ca6d596,173
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,168
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,429
0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,173
0x19df3e87f73c4aaf4809295561465b993e102668,358
0x1ab2ccad4fc97c9968ea87d4435326715be32872,170
0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,404
0x1e43dacdcf863676a6bec8f7d6896d6252fac669,166
0x22d7510588d90ed5a87e0f838391aaafa707c34b,421
0x24b3460622d835c56d9a4fe352966b9bdc6c20af,188
0x26750f1f4277221bdb5f6991473c6ece8c821f9d,202
0x27f72a000d8e9f324583f3a3491ea66998275b28,170
0x2844658bf341db96aa247259824f42025e3bcec2,168
0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,170
0x330513970efd9e8dd606275fb4c50378989b3204,433
0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97,394
0x3867d222ba91236ad4d12c31056626f9e798629c,168
0x3a44be4581137019f83021eeee72b7dc57756069,168
0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,170
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,453
0x4814be124d7fe3b240eb46061f7ddfab468fe122,417
0x4839e666e2baf12a51bf004392b35972eeddeabf,290
0x4c4d05fe859279c91b074429b5fc451182cec745,181
0x4d997c89bc659a3e8452038a8101161e7e7e53a7,436
0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,170
0x4e61251336c32e4fe6bfd5fab014846599321389,179
0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210,182
0x507b6c0d950702f066a9a1bd5e85206f87b065ba,298
0x54e19653be9d4143b08994906be0e27555e8834d,173
0x56ba823641bfc317afc8459bf27feed6eb9ff59f,172
0x56cc2bffcb3f86a30c492f9d1a671a1f744d1d2f,270
0x578cea5f899b0dfbf05c7fbcfda1a644b2a47787,248
0x58c2a9099a03750e9842d3e9a7780cdd6aa70b86,178
0x58d68d4bcf9725e40353379cec92b90332561683,355
0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb,168
0x612a3500559be7be7703de6dc397afb541a16f7f,372
0x623af911f493747c216ad389c7805a37019c662d,804
0x6a2752a534faacaaa153bffbb973dd84e0e5497b,266
0x6d69ca3711e504658977367e13c300ab198379f1,171
0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,189
0x70c1864282599a762c674dd9d567b37e13bce755,172
0x70d8e4ab175dfe0eab4e9a7f33e0a2d19f44001e,452
